id;name;count;type
644;Desenho;3;NULL
645;"Ponto de ônibus";11;NULL
646;Elevado;33;NULL
647;Túnel;7;NULL
648;Caçada;1;NULL
649;Arbusto;16;NULL
650;Pedestal;9;NULL
651;Playground;140;NULL
652;"Concreto desempenado";5;NULL
653;Cancela;1;NULL
654;Difícil;1;NULL
655;"Linha férrea";4;NULL
656;"Arco de descarga";4;NULL
657;Facha;1;NULL
658;"Pista de cooper";4;NULL
659;"Banco Ladrilho hidráulico";1;NULL
660;"Barracas de ambulante";2;NULL
661;"Escultura em granito";1;NULL
662;Paralelepídedo;1;NULL
663;"Frontão aberto";1;NULL
664;"Alvenaria Vegetação";1;NULL
665;"Tijolo de barro. Árvore de porte";1;NULL
666;Coreto;7;NULL
667;Lixeira;13;NULL
668;"Espelo d'água";1;NULL
669;"Canteiro central";1;NULL
670;"Janela Veneziana";1;NULL
671;Banca;9;NULL
672;Plástico;3;NULL
673;Bucci;8;NULL
674;Fórmica;7;NULL
675;"Sala de jantar";2;NULL
676;Dormitório;5;NULL
677;Quarto;4;NULL
678;Hall;3;NULL
679;Praia;5;NULL
680;"Chaminé. Guarda-corpo";1;NULL
681;"Sala de reunião";1;NULL
682;Lago;107;NULL
683;"Painel pré-moldado";9;NULL
684;"Rua Jardim";1;NULL
685;Represa;1;NULL
686;Planetário;2;NULL
687;Estádio;13;NULL
688;Obra;3;NULL
689;Lagoa;3;NULL
690;"Rio Pinheiros";1;NULL
691;RN;1;NULL
692;Natal;2;NULL
693;"Newton Navarro";1;NULL
694;"reis magos";1;NULL
695;fortaleza;1;NULL
696;Corrente;1;NULL
697;"Cobertura tensionada";1;NULL
698;Parquinho;5;NULL
699;Anfiteatro;4;NULL
700;"Pista de skate";8;NULL
701;"Pista de corrida";4;NULL
702;"Praça. Público";1;NULL
703;"Estrutura móvel";1;NULL
704;Córrego;30;NULL
705;Cateiro;1;NULL
706;Saibro;5;NULL
707;"Cimento estampado";1;NULL
708;Campo;1;NULL
709;"Edifício Circulação";1;NULL
710;"Edifício Cidade";1;NULL
711;"Rede de caminhos Gramado";1;NULL
712;Residencial;20;NULL
713;Esquipamento;1;NULL
714;"Barracas de ambulantes";18;NULL
715;´;1;NULL
716;Ladeira;7;NULL
717;Obelisco;4;NULL
718;Ornato;8;NULL
719;"Azulejo português";3;NULL
720;Sinalização;1;NULL
721;Haste;1;NULL
722;"Frontão Ondulado";4;NULL
723;Rótula;1;NULL
724;"Piso de tijolos";7;NULL
725;"Espécimes vegetais significativos";6;NULL
726;"Espécimes significativos";1;NULL
727;"Bosque de eucaliptos";1;NULL
728;Assoreamento;7;NULL
729;Assoareamento;4;NULL
730;Bosque;2;NULL
731;"Caminho de pedras";3;NULL
732;"Vegetação Terra";1;NULL
733;"Desnível Talude";3;NULL
734;"Quadra de futebol";12;NULL
735;Grelha;2;NULL
736;"Terraço Jardim Patamar";2;NULL
737;Jardineiras;1;NULL
738;Arbuto;1;NULL
739;"Mosaico português. Rua";1;NULL
740;Caramanchão;3;NULL
741;"Terreno baldio";1;NULL
742;"Barraca de ambulante";1;NULL
743;Câmara;5;NULL
744;"Empena horizontal";1;NULL
745;Chafariz;5;NULL
746;Subsolo;1;NULL
747;"Veneziana basculante";2;NULL
748;"Cúpula geodésica";2;NULL
749;"Empena vertical";1;NULL
750;"Ladrilho antiderrapante";7;NULL
751;"Treliça metálica";15;NULL
752;"Estrutura pré-moldada";6;NULL
753;"Painel pré-fabricado";2;NULL
754;Cinema;17;NULL
755;Pergolado;6;NULL
756;"Vidro espelhado";5;NULL
757;Altar-mor;1;NULL
758;"Terminal rodoviário";4;NULL
759;Vitrine;5;NULL
760;"Janela uma folha";2;NULL
761;"Muro de contenção";4;NULL
762;Loja;19;NULL
763;"Barra de contenção";2;NULL
764;Totem;23;NULL
765;"Guarda- corpo";2;NULL
766;"Porta pivotante";3;NULL
